Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ikj_2100,13.442E+9,8.507E+9,6.6834E+9,5.2E+6,0,2.58206E+9,334.46E+6,234.18E+6,102.14E+6,28.092E+6,74.032E+6,2.1502,2.121,2.242,ikj,2100,0
ijk_ikj_2200_55,57.206E+9,17.6482E+9,14.574E+9,4.02E+6,20E+3,21.56848E+9,59.58E+6,44.604E+6,10.7E+6,4.928E+6,5.212E+6,1.2285,1.136,1.46,ijk_ikj,2200,55
ijk_ikj_2200_440,51.1388E+9,18.7786E+9,15.3014E+9,1.9E+6,40E+3,18.59522E+9,329.66E+6,283.552E+6,53.032E+6,51.412E+6,1.688E+6,1.9237,1.861,2.034,ijk_ikj,2200,440
ikj_2200,15.5124E+9,9.8154E+9,7.7264E+9,5.88E+6,0,3.00636E+9,386.56E+6,267.364E+6,117.58E+6,32.828E+6,84.712E+6,2.4842,2.456,2.533,ikj,2200,0
ijk_ikj_2300_50,65.5748E+9,20.6698E+9,17.0308E+9,5.28E+6,0,24.46228E+9,64.68E+6,47.588E+6,12.912E+6,5.3E+6,6.828E+6,1.4538,1.356,1.933,ijk_ikj,2300,50
ijk_ikj_2300_460,58.4092E+9,21.2478E+9,17.3102E+9,1.8E+6,80E+3,21.2694E+9,370.88E+6,325.768E+6,55.364E+6,53.216E+6,2.064E+6,2.1932,2.122,2.321,ijk_ikj,2300,460
ikj_2300,17.788E+9,11.2454E+9,8.8466E+9,6.72E+6,0,3.44344E+9,441.06E+6,303.636E+6,137.468E+6,39.144E+6,98.352E+6,2.8685,2.803,2.968,ikj,2300,0
ijk_ikj_2400_50,74.5136E+9,24.2326E+9,19.98E+9,6.5E+6,40E+3,27.51708E+9,80.52E+6,59.408E+6,15.116E+6,6.088E+6,8.228E+6,1.5217,1.463,1.609,ijk_ikj,2400,50
ijk_ikj_2400_480,66.335E+9,24.0884E+9,19.6328E+9,2.62E+6,40E+3,24.12786E+9,435E+6,385.844E+6,58.048E+6,54.924E+6,2.844E+6,2.4264,2.394,2.533,ijk_ikj,2400,480
ikj_2400,19.9434E+9,12.7284E+9,9.986E+9,7.88E+6,0,3.80962E+9,506.32E+6,344.1E+6,163.008E+6,46.676E+6,116.292E+6,3.2423,3.21,3.29,ikj,2400,0
ijk_ikj_2500_50,84.2146E+9,26.232E+9,21.6476E+9,7.14E+6,40E+3,31.39994E+9,70.08E+6,47.752E+6,16.94E+6,6.196E+6,9.98E+6,1.8436,1.755,1.998,ijk_ikj,2500,50
ijk_ikj_2500_500,74.9516E+9,26.298E+9,21.4538E+9,2.4E+6,60E+3,27.4434E+9,475.92E+6,416.948E+6,65.728E+6,63.064E+6,2.46E+6,2.8006,2.706,3.035,ijk_ikj,2500,500
ikj_2500,22.6468E+9,14.4874E+9,11.3732E+9,8.58E+6,20E+3,4.31582E+9,565.08E+6,383.948E+6,185.504E+6,52.588E+6,132.96E+6,3.7008,3.635,3.765,ikj,2500,0
