Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_650_650$omp$1	OMPMul.exe	262	1653	53	1499	2729	3	11	27	21
multiply_matrices_ijk_ikj_700_100$omp$1	OMPMul.exe	303	2025	66	1697	3321	76	2	32	19
multiply_matrices_ijk_ikj_700_140$omp$1	OMPMul.exe	311	1928	137	1682	3154	58	2	44	27
multiply_matrices_ijk_ikj_700_175$omp$1	OMPMul.exe	303	1920	107	1593	3123	47	1	20	12
multiply_matrices_ijk_ikj_700_350$omp$1	OMPMul.exe	307	1941	76	1704	3161	29	3	17	8
multiply_matrices_ijk_ikj_700_50$omp$1	OMPMul.exe	277	1969	34	1583	3576	144	2	19	10
multiply_matrices_ijk_ikj_700_70$omp$1	OMPMul.exe	320	2036	38	1744	3399	108	4	35	17
multiply_matrices_ijk_ikj_700_700$omp$1	OMPMul.exe	302	1961	55	1786	3212	3	13	31	28
multiply_matrices_ijk_ikj_750_125$omp$1	OMPMul.exe	384	2453	169	2141	4067	77	3	33	19
multiply_matrices_ijk_ikj_750_150$omp$1	OMPMul.exe	375	2448	148	2129	4040	65	2	52	35
multiply_matrices_ijk_ikj_750_250$omp$1	OMPMul.exe	357	2365	97	1904	3828	41		24	15
multiply_matrices_ijk_ikj_750_375$omp$1	OMPMul.exe	399	2367	81	2157	3855	30	5	17	8
multiply_matrices_ijk_ikj_750_50$omp$1	OMPMul.exe	355	2429	45	1983	4399	181	5	30	17
multiply_matrices_ijk_ikj_750_75$omp$1	OMPMul.exe	382	2490	42	2101	4155	127	3	34	20
multiply_matrices_ijk_ikj_750_750$omp$1	OMPMul.exe	376	2381	64	2212	3903	3	16	34	27
multiply_matrices_ijk_ikj_800_100$omp$1	OMPMul.exe	436	2958	116	2496	4827	117	3	38	22
multiply_matrices_ijk_ikj_800_160$omp$1	OMPMul.exe	457	2870	158	2466	4702	79	2	59	41
multiply_matrices_ijk_ikj_800_200$omp$1	OMPMul.exe	454	3126	149	2634	5053	59	2	35	20
multiply_matrices_ijk_ikj_800_400$omp$1	OMPMul.exe	483	3004	101	2725	4821	26	10	20	13
multiply_matrices_ijk_ikj_800_50$omp$1	OMPMul.exe	437	2944	52	2397	5331	217	6	42	21
multiply_matrices_ijk_ikj_800_80$omp$1	OMPMul.exe	459	2948	63	2514	4892	143	4	35	20
multiply_matrices_ijk_ikj_800_800$omp$1	OMPMul.exe	463	3029	79	2747	4912	4	18	43	32
multiply_matrices_ijk_ikj_850_170$omp$1	OMPMul.exe	547	3489	203	2915	5659	92	3	84	49
multiply_matrices_ijk_ikj_850_425$omp$1	OMPMul.exe	573	3515	129	3220	5742	26	17	15	7
multiply_matrices_ijk_ikj_850_50$omp$1	OMPMul.exe	514	3637	62	2943	6611	252	8	29	17
multiply_matrices_ijk_ikj_850_85$omp$1	OMPMul.exe	561	3715	98	3130	6139	157	3	47	24
multiply_matrices_ijk_ikj_850_850$omp$1	OMPMul.exe	529	3459	98	3149	5675	2	20	46	36
multiply_matrices_ijk_ikj_900_100$omp$1	OMPMul.exe	641	4286	155	3591	7006	165	7	79	49
multiply_matrices_ijk_ikj_900_150$omp$1	OMPMul.exe	644	4106	256	3545	6838	118	4	47	26
multiply_matrices_ijk_ikj_900_180$omp$1	OMPMul.exe	638	4114	208	3515	6753	100	3	73	53
multiply_matrices_ijk_ikj_900_225$omp$1	OMPMul.exe	623	4237	208	3522	6923	83	2	52	31
multiply_matrices_ijk_ikj_900_300$omp$1	OMPMul.exe	629	4069	163	3404	6627	67	3	39	23
multiply_matrices_ijk_ikj_900_450$omp$1	OMPMul.exe	698	4383	134	4060	7141	23	23	28	21
multiply_matrices_ijk_ikj_900_50$omp$1	OMPMul.exe	622	4402	74	3608	8022	295	10	49	23
multiply_matrices_ijk_ikj_900_60$omp$1	OMPMul.exe	687	4219	71	3675	7018	265	9	75	35
