Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_950_475	614.33	687666666.67	3808333.33	915000000.00	1024416666.67	791666.67	58333.33	13016666.67	983333.33	0.6440
ijk_ikj_950_950	486.33	527666666.67	2041666.67	715750000.00	865416666.67	108333.33	308333.33	11500000.00	1016666.67	0.5273
ijk_ikj_1000_50	548.33	725583333.33	2583333.33	818750000.00	1553583333.33	9133333.33	241666.67	3000000.00	1083333.33	0.5750
ijk_ikj_1000_100	544.33	567333333.33	8366666.67	778666666.67	1322333333.33	4900000.00	66666.67	7816666.67	1033333.33	0.5723
ijk_ikj_1000_125	677.00	812416666.67	10000000.00	966583333.33	1297833333.33	4000000.00	58333.33	17183333.33	1250000.00	0.7127
ijk_ikj_1000_200	477.33	471000000.00	6608333.33	622083333.33	991750000.00	2550000.00	58333.33	18650000.00	1133333.33	0.5107
ijk_ikj_1000_250	525.33	627666666.67	5866666.67	716916666.67	1131916666.67	2066666.67	33333.33	15900000.00	850000.00	0.5440
ijk_ikj_1000_500	561.67	520833333.33	4308333.33	811333333.33	1132083333.33	875000.00	91666.67	15583333.33	1133333.33	0.5917
ijk_ikj_1000_1000	512.00	485666666.67	2466666.67	727250000.00	977666666.67	100000.00	391666.67	14066666.67	583333.33	0.5393
ijk_ikj_1050_50	500.00	658416666.67	2708333.33	727500000.00	1307083333.33	9516666.67	266666.67	2050000.00	766666.67	0.6740
ijk_ikj_1050_70	560.33	758666666.67	3341666.67	809916666.67	1543750000.00	7608333.33	166666.67	3133333.33	1100000.00	0.6637
ijk_ikj_1050_75	578.33	864916666.67	3575000.00	860500000.00	1443250000.00	7208333.33	200000.00	3150000.00	933333.33	0.6793
ijk_ikj_1050_105	714.67	838666666.67	10475000.00	1039166666.67	1320666666.67	5391666.67	133333.33	13783333.33	916666.67	0.8200
ijk_ikj_1050_150	639.33	712083333.33	9250000.00	879166666.67	1265583333.33	3866666.67	100000.00	18250000.00	1050000.00	0.7317
ijk_ikj_1050_175	744.33	909750000.00	8925000.00	1049250000.00	1447083333.33	3516666.67	83333.33	19483333.33	1150000.00	0.7853
ijk_ikj_1050_210	645.33	756833333.33	7950000.00	903083333.33	1355416666.67	2841666.67	50000.00	19500000.00	983333.33	0.6700
