Liczba watkow 4
name;n;r;time
IJK_IKJ_1000_100;1000;100;  0.1430
IJK_IKJ_1000_125;1000;125;  0.1130
IJK_IKJ_1000_200;1000;200;  0.2140
IJK_IKJ_1000_250;1000;250;  0.1360
IJK_IKJ_1050_10;1050;10;  0.1950
IJK_IKJ_1050_14;1050;14;  0.1640
IJK_IKJ_1050_15;1050;15;  0.1510
IJK_IKJ_1050_21;1050;21;  0.1420
IJK_IKJ_1050_25;1050;25;  0.1360
IJK_IKJ_1050_30;1050;30;  0.1310
IJK_IKJ_1050_35;1050;35;  0.1330
IJK_IKJ_1050_42;1050;42;  0.1360
IJK_IKJ_1050_50;1050;50;  0.1380
IJK_IKJ_1050_70;1050;70;  0.1390
IJK_IKJ_1050_75;1050;75;  0.1530
IJK_IKJ_1050_105;1050;105;  0.1640
IJK_IKJ_1050_150;1050;150;  0.1540
IJK_IKJ_1050_175;1050;175;  0.1840
IJK_IKJ_1050_210;1050;210;  0.2150
IJK_IKJ_1100_10;1100;10;  0.2050
IJK_IKJ_1100_11;1100;11;  0.2100
IJK_IKJ_1100_20;1100;20;  0.1570
IJK_IKJ_1100_22;1100;22;  0.1720
IJK_IKJ_1100_25;1100;25;  0.1550
IJK_IKJ_1100_44;1100;44;  0.1530
IJK_IKJ_1100_50;1100;50;  0.1660
IJK_IKJ_1100_55;1100;55;  0.1420
IJK_IKJ_1100_100;1100;100;  0.1650
IJK_IKJ_1100_110;1100;110;  0.1830
IJK_IKJ_1100_220;1100;220;  0.2490
IJK_IKJ_1100_275;1100;275;  0.1670
IJK_IKJ_1150_10;1150;10;  0.2330
IJK_IKJ_1150_23;1150;23;  0.1880
IJK_IKJ_1150_25;1150;25;  0.1790
IJK_IKJ_1150_46;1150;46;  0.1800
IJK_IKJ_1150_50;1150;50;  0.1670
IJK_IKJ_1150_115;1150;115;  0.2230
IJK_IKJ_1150_230;1150;230;  0.3070
IJK_IKJ_1200_10;1200;10;  0.2670
IJK_IKJ_1200_12;1200;12;  0.2200
IJK_IKJ_1200_15;1200;15;  0.2310
IJK_IKJ_1200_16;1200;16;  0.2030
IJK_IKJ_1200_20;1200;20;  0.1990
IJK_IKJ_1200_24;1200;24;  0.1960
IJK_IKJ_1200_25;1200;25;  0.1950
IJK_IKJ_1200_30;1200;30;  0.1970
IJK_IKJ_1200_40;1200;40;  0.1920
IJK_IKJ_1200_48;1200;48;  0.2140
IJK_IKJ_1200_50;1200;50;  0.1820
IJK_IKJ_1200_60;1200;60;  0.2040
IJK_IKJ_1200_75;1200;75;  0.1900
IJK_IKJ_1200_80;1200;80;  0.2260
IJK_IKJ_1200_100;1200;100;  0.1990
IJK_IKJ_1200_120;1200;120;  0.2350
IJK_IKJ_1200_150;1200;150;  0.2090
IJK_IKJ_1200_200;1200;200;  0.2800
IJK_IKJ_1200_240;1200;240;  0.3200
IJK_IKJ_1200_300;1200;300;  0.2050
IJK_IKJ_1250_10;1250;10;  0.3160
IJK_IKJ_1250_25;1250;25;  0.2380
IJK_IKJ_1250_50;1250;50;  0.2320
IJK_IKJ_1250_125;1250;125;  0.3000
IJK_IKJ_1250_250;1250;250;  0.3620
