Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1000_20,650800000.0000,538400000.0000,100000.0000,20000.0000,767600000.0000,2080000.0000,560000.0000,1780000.0000,1730000.0000,20000.0000,0.1276
ijk_ikj_1000_125,676400000.0000,555800000.0000,20000.0000,0.0000,683600000.0000,14860000.0000,14940000.0000,730000.0000,690000.0000,20000.0000,0.1144
ijk_ikj_1000_100,650200000.0000,539200000.0000,80000.0000,0.0000,682400000.0000,15620000.0000,15920000.0000,360000.0000,310000.0000,0.0000,0.1441
ijk_ikj_1000_10,876400000.0000,723000000.0000,280000.0000,0.0000,890400000.0000,6260000.0000,2500000.0000,3790000.0000,3780000.0000,0.0000,0.1582
ijk_950,1783200000.0000,1453200000.0000,18980000.0000,0.0000,354400000.0000,354200000.0000,302820000.0000,24980000.0000,24100000.0000,460000.0000,0.2831
ijk_900,1364200000.0000,1115200000.0000,8740000.0000,0.0000,302000000.0000,280040000.0000,260000000.0000,15920000.0000,15360000.0000,340000.0000,0.2380
ijk_850,1051000000.0000,860000000.0000,200000.0000,0.0000,254000000.0000,245840000.0000,217000000.0000,15220000.0000,14960000.0000,80000.0000,0.1837
ijk_800,880800000.0000,721200000.0000,60000.0000,0.0000,203200000.0000,193720000.0000,171360000.0000,25730000.0000,25560000.0000,140000.0000,0.1593
ijk_750,699000000.0000,574400000.0000,80000.0000,0.0000,178000000.0000,169720000.0000,147280000.0000,7620000.0000,7580000.0000,20000.0000,0.1282
ijk_700,566200000.0000,465000000.0000,40000.0000,0.0000,149200000.0000,139780000.0000,116600000.0000,5480000.0000,5440000.0000,0.0000,0.1032
ijk_650,452600000.0000,371000000.0000,20000.0000,0.0000,114400000.0000,104820000.0000,100840000.0000,4380000.0000,4360000.0000,0.0000,0.0824
ijk_600,359800000.0000,292000000.0000,0.0000,0.0000,94800000.0000,73820000.0000,71840000.0000,3490000.0000,3470000.0000,0.0000,0.0645
ijk_550,272000000.0000,221600000.0000,0.0000,0.0000,77200000.0000,55960000.0000,52260000.0000,2370000.0000,2380000.0000,0.0000,0.0498
ijk_500,201400000.0000,164600000.0000,0.0000,0.0000,68400000.0000,19160000.0000,27820000.0000,2000000.0000,1980000.0000,0.0000,0.0366
ijk_450,144600000.0000,119000000.0000,0.0000,0.0000,39200000.0000,7240000.0000,10280000.0000,1390000.0000,1350000.0000,0.0000,0.0274
ijk_400,104200000.0000,84800000.0000,0.0000,0.0000,36000000.0000,6620000.0000,7900000.0000,1210000.0000,1230000.0000,0.0000,0.0191
ijk_350,69600000.0000,57200000.0000,0.0000,0.0000,38800000.0000,5640000.0000,3840000.0000,280000.0000,260000.0000,0.0000,0.0128
ijk_300,41600000.0000,34800000.0000,0.0000,0.0000,30800000.0000,1940000.0000,380000.0000,130000.0000,130000.0000,0.0000,0.0081
ijk_250,23600000.0000,18600000.0000,0.0000,0.0000,9200000.0000,380000.0000,360000.0000,30000.0000,40000.0000,0.0000,0.0046
ijk_200,10800000.0000,9800000.0000,0.0000,0.0000,4400000.0000,220000.0000,240000.0000,0.0000,10000.0000,0.0000,0.0024
ijk_1500,9255400000.0000,7587800000.0000,391960000.0000,20000.0000,1312400000.0000,1323080000.0000,1093780000.0000,276930000.0000,249870000.0000,15220000.0000,1.6941
ijk_150,5000000.0000,4400000.0000,0.0000,0.0000,2000000.0000,120000.0000,80000.0000,0.0000,0.0000,0.0000,0.0011
ijk_1450,8692800000.0000,7113000000.0000,334400000.0000,0.0000,1214400000.0000,1218640000.0000,983440000.0000,224820000.0000,202960000.0000,11640000.0000,1.2190
ijk_1400,6948600000.0000,5675400000.0000,149360000.0000,20000.0000,1100800000.0000,1109000000.0000,915960000.0000,164020000.0000,142500000.0000,10620000.0000,0.9971
ijk_1350,7021400000.0000,5720600000.0000,159420000.0000,0.0000,986000000.0000,969640000.0000,836740000.0000,137360000.0000,122090000.0000,8000000.0000,0.9561
ijk_1300,6110800000.0000,4982400000.0000,167320000.0000,0.0000,891600000.0000,886240000.0000,731780000.0000,130060000.0000,117690000.0000,6700000.0000,0.8075
ijk_1250,5693600000.0000,4637000000.0000,82040000.0000,0.0000,778400000.0000,765480000.0000,688620000.0000,84290000.0000,73400000.0000,5720000.0000,0.7250
ijk_1200,4250400000.0000,3478400000.0000,52640000.0000,0.0000,678000000.0000,680680000.0000,628900000.0000,68790000.0000,58020000.0000,5360000.0000,0.5923
ijk_1150,4090000000.0000,3343600000.0000,50080000.0000,0.0000,602400000.0000,594160000.0000,546600000.0000,60720000.0000,54790000.0000,3060000.0000,0.5698
ijk_1100,3503000000.0000,2847800000.0000,49160000.0000,20000.0000,530400000.0000,524920000.0000,485300000.0000,40700000.0000,36800000.0000,2140000.0000,0.4686
ijk_1050,2887800000.0000,2350800000.0000,35140000.0000,0.0000,465600000.0000,461540000.0000,419000000.0000,37920000.0000,35340000.0000,1360000.0000,0.3998
ijk_1000,2024200000.0000,1654000000.0000,18000000.0000,0.0000,389200000.0000,392780000.0000,377700000.0000,27810000.0000,26340000.0000,680000.0000,0.3552
ijk_100,600000.0000,0.0000,0.0000,800000.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0004
